This table- ,TestSchema,., RISK, contains column named - , ACCEPTANCE, of datatype - , DECFLOAT,. This is ,not , a primary key for this table.,,This column can be used to join with ,TestSchema,., ENUMVALS, on , ENUMVALID,This column describes-,Use to indicate whether the residual risk is acceptable and if not what treatment is appropriate., [NULL],,,,
This table- ,TestSchema,., PROCESS, contains column named - , ACK_LVL1, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL] ,This column describes-,Acknowledgement Level 1, [NULL],,,,
This table- ,TestSchema,., PROCESS, contains column named - , ACK_LVL2, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-, Acknowledgement Level 2, [NULL],,,,
This table- ,TestSchema,., PROCESS, contains column named - , ACK_LVL3, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-, Acknowledgement Level 3, [NULL],,,,
This table- ,TestSchema,., PROCESS, contains column named - , ACK_LVL4, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-, Acknowledgement Level 4, [NULL],,,,
This table- ,TestSchema,., PROCESS, contains column named - , ACK_LVLS, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-, Acknowledgement Level 5, [NULL],,,,
This table- ,TestSchema,., PROCESS, contains column named - , ACK_LVL6, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL] ,This column describes-,Acknowledgement Level 6, [NULL],,,,
This table- ,TestSchema,., PROCESS, contains column named - , ACK_LVL_DETAILS, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Acknowledgement Level Details\\, like certified by\\," certified date and certified level""", [NULL],,
This table- ,TestSchema,., PROCESS, contains column named - , ACK_STATUS, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL] ,This column describes-,Acknowledgement Status, [NULL],,,,
This table- ,TestSchema,., PROCESS, contains column named - , ACK_WIZARD, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL] ,This column describes-,Acknowledge Wizard Helper Link, [NULL],,,,
This table- ,TestSchema,., ACTIONPLAN, contains column named - , ACTNCLSD, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with ,TestSchema,., ENUMVALS, on , ENUMVALID,This column describes-, Action Closed, [NULL],,,,
